nx,ny,nz,N,serial_ms,parallel_ms,speedup
8,8,8,512,21.075747,65.415365,0.322183
8,16,8,1024,173.811142,62.115694,2.798184
8,16,16,2048,1906.897596,186.138547,10.244507
16,16,16,4096,21840.606527,2391.042643,9.134344
