nx,ny,nz,N,serial_ms,parallel_ms,speedup
8,8,8,512,26.201437,407.471922,0.064302
8,16,8,1024,216.423702,61.696806,3.507859
8,16,16,2048,3745.854174,273.765262,13.682723
16,16,16,4096,42838.970642,1621.052538,26.426639
