n,count,serial_ms,t1_ms,t2_ms,t4_ms,t8_ms,t16_ms,t32_ms,speedup_x2,speedup_x4,speedup_x8,speedup_x16,speedup_x32
8,92,0.027,0.033,0.086,0.121,0.239,0.301,0.543,0.318,0.227,0.114,0.091,0.050
10,724,0.445,0.417,0.245,0.733,0.183,0.295,0.540,1.820,0.608,2.432,1.510,0.825
12,14200,10.531,10.120,5.132,2.637,1.812,1.146,1.328,2.052,3.993,5.813,9.189,7.931
14,365596,337.785,323.440,162.043,89.895,47.112,25.529,33.272,2.085,3.758,7.170,13.231,10.152
15,2279184,2110.194,2023.921,1065.136,535.054,304.002,157.358,179.490,1.981,3.944,6.941,13.410,11.757
