hollywood-2009,1139905,1139905,113891327,99.913,255.279,130.479,66.4262,34.1475,17.7741,15.8244,1.95647,3.84306,7.47579,14.3624,16.1321
ldoor,952203,952203,46522475,48.8577,71.358,38.0367,19.2058,9.45814,6.26877,6.02228,1.87603,3.71543,7.54462,11.3831,11.849
roadNet-CA,1971281,1971281,5533214,2.80691,20.6318,12.5313,7.33303,4.30523,2.44536,2.14704,1.64642,2.81355,4.79227,8.43712,9.60944
chesapeake,39,39,340,8.71795,346.927,0.063743,0.055451,0.053217,0.052591,0.052662,5442.59,6256.46,6519.1,6596.7,6587.81
hollywood-2009,1139905,1139905,113891327,99.913,188.511,181.891,181.635,181.804,181.406,182.071,1.03639,1.03785,1.03689,1.03917,1.03537
ldoor,952203,952203,46522475,48.8577,75.5685,74.7379,73.365,73.2517,76.1571,73.214,1.01111,1.03003,1.03163,0.992271,1.03216
roadNet-CA,1971281,1971281,5533214,2.80691,16.645,15.4116,15.3406,15.0958,15.0837,15.2352,1.08004,1.08503,1.10262,1.10351,1.09254
chesapeake,39,39,340,8.71795,291,0.060982,0.05434,0.05166,0.05111,0.050973,4771.9,5355.17,5632.99,5693.6,5708.91
chesapeake,39,39,340,8.71795,352.2,0.063611,0.05482,0.052871,0.052251,0.052277,5536.78,6424.66,6661.5,6740.54,6737.19
hollywood-2009,1139905,1139905,113891327,99.913,187.281,182.691,182.298,182.9,181.84,181.376,1.02513,1.02734,1.02396,1.02992,1.03256
ldoor,952203,952203,46522475,48.8577,74.7196,73.7014,72.9101,72.9988,72.7466,72.9285,1.01382,1.02482,1.02357,1.02712,1.02456
roadNet-CA,1971281,1971281,5533214,2.80691,16.3417,15.2036,15.0633,15.02,15.1148,15.0635,1.07486,1.08487,1.088,1.08118,1.08486
chesapeake,39,39,340,8.71795,353.91,0.066223,0.057744,0.055014,0.054211,0.054167,5344.22,6128.95,6433.09,6528.38,6533.68
hollywood-2009,1139905,1139905,113891327,99.913,185.208,181.804,182.002,181.667,181.791,182.37,1.01872,1.01761,1.01949,1.01879,1.01556
ldoor,952203,952203,46522475,48.8577,74.7701,73.9936,74.5925,73.8024,74.2754,73.1726,1.01049,1.00238,1.01311,1.00666,1.02183
roadNet-CA,1971281,1971281,5533214,2.80691,16.1633,15.2765,15.5942,15.4675,15.354,15.5556,1.05804,1.03649,1.04498,1.0527,1.03906
chesapeake,39,39,340,8.71795,301.4,0.076822,0.059393,0.065405,0.054587,0.053137,3923.35,5074.66,4608.2,5521.45,5672.12
chesapeake,39,39,340,8.71795,352.324,0.063845,0.055865,0.053794,0.053816,0.053568,5518.42,6306.7,6549.5,6546.82,6577.13
hollywood-2009,1139905,1139905,113891327,99.913,182.923,178.457,178.495,178.315,178.123,178.378,1.02503,1.02481,1.02584,1.02695,1.02548
ldoor,952203,952203,46522475,48.8577,73.7511,72.5962,72.0163,71.979,71.9644,71.73,1.01591,1.02409,1.02462,1.02483,1.02818
roadNet-CA,1971281,1971281,5533214,2.80691,16.0247,14.8295,14.8057,14.7993,14.8177,14.7527,1.08059,1.08233,1.0828,1.08145,1.08622
chesapeake,39,39,340,8.71795,287.07,0.061909,0.054195,0.052026,0.051541,0.05171,4636.97,5296.98,5517.82,5569.74,5551.54
chesapeake,39,39,340,8.71795,0.004396,0.002545,0.005823,0.022961,0.013702,0.016706,1.72731,0.754937,0.191455,0.320829,0.263139
