run,graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.429,15.3015,15.2312,15.254,15.2216,15.2127,1.07369,1.07864,1.07703,1.07932,1.07995
1,chesapeake,39,39,340,8.71795,304.143,0.062416,0.054843,0.064277,0.055197,0.065652,4872.85,5545.71,4731.76,5510.15,4632.66
1,hollywood-2009,1139905,1139905,113891327,99.913,186.362,182.223,182.853,182.336,182.552,184.088,1.02271,1.01919,1.02208,1.02087,1.01235
1,ldoor,952203,952203,46522475,48.8577,75.5292,74.4248,74.5338,73.6254,73.6097,73.8174,1.01484,1.01336,1.02586,1.02608,1.02319
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.257,15.5347,15.4271,15.4537,15.4606,15.4027,1.04649,1.05379,1.05198,1.05151,1.05546
1,chesapeake,39,39,340,8.71795,354.684,0.059202,0.052353,0.050732,0.050558,0.049203,5991.08,6774.85,6991.33,7015.39,7208.58
1,hollywood-2009,1139905,1139905,113891327,99.913,193.231,176.726,172.989,172.429,172.845,172.387,1.09339,1.11701,1.12064,1.11794,1.12091
1,ldoor,952203,952203,46522475,48.8577,92.2185,86.0032,85.7706,78.2839,76.0672,76.0575,1.07227,1.07518,1.178,1.21233,1.21248
1,roadNet-CA,1971281,1971281,5533214,2.80691,53.5114,64.0747,64.0407,47.2736,34.6612,34.6551,0.83514,0.835583,1.13195,1.54384,1.54411
2,chesapeake,39,39,340,8.71795,343.899,0.065334,0.071288,0.054077,0.052908,0.052606,5263.71,4824.09,6359.44,6499.95,6537.27
2,hollywood-2009,1139905,1139905,113891327,99.913,190.476,185.045,183.813,182.874,181.938,182.261,1.02935,1.03625,1.04157,1.04693,1.04507
2,ldoor,952203,952203,46522475,48.8577,74.8905,75.1101,74.1792,74.8192,74.3849,73.6005,0.997076,1.00959,1.00095,1.0068,1.01753
2,roadNet-CA,1971281,1971281,5533214,2.80691,16.3263,15.3273,15.4852,15.4131,15.4488,15.4382,1.06518,1.05432,1.05925,1.0568,1.05753
2,chesapeake,39,39,340,8.71795,291.304,0.079617,0.058785,0.078058,0.067837,0.052802,3658.82,4955.41,3731.89,4294.17,5516.91
2,hollywood-2009,1139905,1139905,113891327,99.913,191.413,187.725,187.868,186.527,186.314,187.186,1.01965,1.01887,1.02619,1.02737,1.02258
2,ldoor,952203,952203,46522475,48.8577,77.2267,76.1079,75.2857,75.3952,75.3954,75.6129,1.0147,1.02578,1.02429,1.02429,1.02134
2,roadNet-CA,1971281,1971281,5533214,2.80691,16.5974,15.5633,15.5195,15.5186,15.6779,15.5942,1.06644,1.06946,1.06951,1.05865,1.06433
2,chesapeake,39,39,340,8.71795,302.183,0.061024,0.054055,0.051315,0.050563,0.050281,4951.86,5590.28,5888.78,5976.36,6009.88
2,hollywood-2009,1139905,1139905,113891327,99.913,196.103,192.791,187.623,190.912,189.479,189.22,1.01718,1.0452,1.02719,1.03496,1.03638
