run,N,nthreads,serial_ms,parallel_ms,speedup
7,131072,64,9.888,0.895,11.054
7,262144,2,22.806,1.797,12.692
7,262144,4,22.806,1.633,13.967
7,262144,8,22.806,1.632,13.978
7,262144,16,22.806,1.626,14.022
7,262144,32,22.806,1.630,13.994
7,262144,64,22.806,1.627,14.020
7,524288,2,51.306,3.205,16.010
7,524288,4,51.306,2.913,17.611
7,524288,8,51.306,2.921,17.564
7,524288,16,51.306,2.912,17.617
7,524288,32,51.306,2.925,17.543
7,524288,64,51.306,2.949,17.396
8,4096,2,0.206,286.814,0.001
8,4096,4,0.206,0.169,1.220
8,4096,8,0.206,0.161,1.283
8,4096,16,0.206,0.161,1.279
8,4096,32,0.206,0.158,1.307
8,4096,64,0.206,0.175,1.175
8,8192,2,0.441,0.245,1.802
8,8192,4,0.441,0.203,2.173
8,8192,8,0.441,0.216,2.045
8,8192,16,0.441,0.208,2.120
8,8192,32,0.441,0.197,2.241
8,8192,64,0.441,0.197,2.241
8,16384,2,0.921,0.304,3.029
8,16384,4,0.921,0.271,3.397
8,16384,8,0.921,0.287,3.215
8,16384,16,0.921,0.275,3.355
8,16384,32,0.921,0.270,3.415
8,16384,64,0.921,0.298,3.096
8,32768,2,1.969,0.435,4.532
8,32768,4,1.969,0.396,4.973
8,32768,8,1.969,0.403,4.889
8,32768,16,1.969,0.396,4.973
8,32768,32,1.969,0.417,4.726
8,32768,64,1.969,0.391,5.036
8,65536,2,4.395,0.681,6.454
8,65536,4,4.395,0.669,6.572
8,65536,8,4.395,0.652,6.737
8,65536,16,4.395,0.656,6.699
8,65536,32,4.395,0.646,6.798
8,65536,64,4.395,0.645,6.818
8,131072,2,9.948,1.342,7.414
8,131072,4,9.948,1.158,8.589
8,131072,8,9.948,1.154,8.620
8,131072,16,9.948,1.157,8.596
8,131072,32,9.948,1.145,8.690
8,131072,64,9.948,1.150,8.649
8,262144,2,22.501,2.309,9.745
8,262144,4,22.501,2.143,10.502
8,262144,8,22.501,2.163,10.404
8,262144,16,22.501,2.138,10.524
8,262144,32,22.501,2.149,10.470
8,262144,64,22.501,2.153,10.451
8,524288,2,50.634,4.509,11.229
8,524288,4,50.634,4.044,12.519
8,524288,8,50.634,4.017,12.605
8,524288,16,50.634,3.996,12.671
8,524288,32,50.634,3.994,12.679
8,524288,64,50.634,3.980,12.723
9,4096,2,0.197,276.283,0.001
9,4096,4,0.197,0.174,1.132
9,4096,8,0.197,0.153,1.285
9,4096,16,0.197,0.151,1.302
9,4096,32,0.197,0.152,1.296
9,4096,64,0.197,0.166,1.185
9,8192,2,0.439,0.230,1.913
9,8192,4,0.439,0.185,2.381
9,8192,8,0.439,0.184,2.384
9,8192,16,0.439,0.209,2.100
9,8192,32,0.439,0.184,2.387
9,8192,64,0.439,0.182,2.419
9,16384,2,0.923,0.287,3.213
9,16384,4,0.923,0.241,3.821
9,16384,8,0.923,0.258,3.572
9,16384,16,0.923,0.252,3.655
9,16384,32,0.923,0.241,3.833
9,16384,64,0.923,0.241,3.833
9,32768,2,1.974,0.362,5.457
9,32768,4,1.974,0.368,5.370
9,32768,8,1.974,0.335,5.894
9,32768,16,1.974,0.333,5.938
9,32768,32,1.974,0.352,5.604
9,32768,64,1.974,0.337,5.856
9,65536,2,4.300,0.549,7.838
9,65536,4,4.300,0.543,7.916
9,65536,8,4.300,0.522,8.238
