run,graph,num_nodes,num_edges,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,mteps_t1,mteps_t2,mteps_t4,mteps_t8,mteps_t16,mteps_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
3,ldoor,952203,46522475,48.8577,74.688,74.3895,75.7185,60.3869,60.4845,59.9849,622.891,625.39,614.413,770.407,769.163,775.57,1.00401,0.986391,1.23683,1.23483,1.24511
3,roadNet-CA,1971281,5533214,2.80691,112.754,112.222,111.437,111.443,111.465,112.176,49.0732,49.3058,49.6532,49.6504,49.6406,49.326,1.00474,1.01182,1.01176,1.01156,1.00515
3,chesapeake,39,340,8.71795,237.817,0.190811,0.178853,0.173534,0.161728,0.154917,0.00142967,1.78187,1.901,1.95927,2.1023,2.19472,1246.35,1329.68,1370.43,1470.47,1535.12
3,hollywood-2009,1139905,113891327,99.913,117.319,109.05,104.832,103.832,103.932,103.907,970.782,1044.4,1086.42,1096.88,1095.83,1096.09,1.07583,1.11912,1.12989,1.12881,1.12908
3,ldoor,952203,46522475,48.8577,75.3883,74.7423,65.0891,64.6435,64.493,58.1858,617.105,622.439,714.751,719.677,721.356,799.551,1.00864,1.15823,1.16622,1.16894,1.29565
3,roadNet-CA,1971281,5533214,2.80691,101.327,112.042,100.524,95.9086,96.0228,95.7263,54.6076,49.3853,55.0437,57.6926,57.624,57.8024,0.904366,1.00799,1.05649,1.05524,1.0585
4,chesapeake,39,340,8.71795,0.345923,0.163192,0.157788,0.155914,0.155919,0.15393,0.982878,2.08344,2.15479,2.18069,2.18062,2.2088,2.11973,2.19233,2.21868,2.21861,2.24727
4,hollywood-2009,1139905,113891327,99.913,90.3388,90.4606,83.039,79.7167,80.5499,77.3729,1260.71,1259.02,1371.54,1428.7,1413.92,1471.98,0.998654,1.08791,1.13325,1.12153,1.16758
4,ldoor,952203,46522475,48.8577,73.3171,71.1697,71.4994,71.1917,60.0109,55.0957,634.538,653.684,650.669,653.482,775.234,844.393,1.03017,1.02542,1.02985,1.22173,1.33072
4,roadNet-CA,1971281,5533214,2.80691,161.365,148.123,99.2345,97.3261,89.7542,89.3156,34.29,37.3555,55.759,56.8523,61.6485,61.9513,1.0894,1.6261,1.65799,1.79786,1.80669
4,chesapeake,39,340,8.71795,515.63,0.216025,0.191865,0.192021,0.189903,0.204457,0.000659388,1.57389,1.77208,1.77064,1.79039,1.66294,2386.9,2687.46,2685.28,2715.23,2521.95
4,hollywood-2009,1139905,113891327,99.913,117.779,116.256,105.529,104.854,104.571,104.446,966.995,979.66,1079.25,1086.19,1089.13,1090.43,1.0131,1.11608,1.12327,1.12631,1.12765
4,ldoor,952203,46522475,48.8577,75.1412,70.3386,69.2589,69.3512,58.3857,59.1922,619.134,661.408,671.718,670.824,796.813,785.956,1.06828,1.08493,1.08349,1.28698,1.26944
4,roadNet-CA,1971281,5533214,2.80691,165.073,119.884,105.433,95.7335,94.8136,94.8028,33.5198,46.1548,52.481,57.7981,58.3589,58.3655,1.37694,1.56567,1.7243,1.74103,1.74123
