graph,num_nodes,num_edges,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,mteps_t1,mteps_t2,mteps_t4,mteps_t8,mteps_t16,mteps_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
chesapeake,39,340,8.71795,236.279,0.158958,0.168977,0.167293,0.15238,0.147516,0.00143898,2.13893,2.01211,2.03236,2.23126,2.30483,1486.42,1398.29,1412.36,1550.59,1601.71
hollywood-2009,1139905,113891327,99.913,96.1315,94.0208,90.0979,81.7805,81.1153,80.2886,1184.74,1211.34,1264.08,1392.65,1404.07,1418.52,1.02245,1.06697,1.17548,1.18512,1.19733
ldoor,952203,46522475,48.8577,63.7653,63.0042,63.0717,63.0485,56.9831,51.4277,729.589,738.403,737.612,737.884,816.426,904.618,1.01208,1.011,1.01137,1.11902,1.2399
roadNet-CA,1971281,5533214,2.80691,123.446,136.472,90.7535,90.2268,89.9725,89.7628,44.8229,40.5447,60.9697,61.3256,61.499,61.6426,0.904554,1.36024,1.36818,1.37204,1.37525
